file,line,trigger,behavior,category,severity,impact
analysis/injection_scheme_validator.py,118,Missing key 'daily_co2_injected_mscf',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_co2_injected_mscf'=np.array([])
analysis/injection_scheme_validator.py,120,Missing key 'daily_pressure',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_pressure'=np.array([])
analysis/injection_scheme_validator.py,387,Missing key 'daily_co2_injected_mscf',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_co2_injected_mscf'=np.array([])
analysis/injection_scheme_validator.py,389,Missing key 'daily_water_injected_bbl',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_water_injected_bbl'=np.array([])
analysis/material_balance.py,21,Exception caught: ImportError,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/material_balance.py,378,Exception caught: Exception,Returns fallback value: None,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/material_balance.py,111,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/material_balance.py,75,Missing key 'pressure',Substituted default 2000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'pressure'=2000.0
analysis/material_balance.py,76,Missing key 'temperature',Substituted default 150.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'temperature'=150.0
analysis/material_balance.py,194,Missing key 'pressure',Substituted default 2000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'pressure'=2000.0
analysis/material_balance.py,200,Missing key 'caprock_fracture_pressure_psi',Substituted default 5500.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'caprock_fracture_pressure_psi'=5500.0
analysis/material_balance.py,253,Numerical bounds exceeded on net_stored_tonne[i] / purchased_tonne[i],"Clamped to [0.0, 1.0]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable net_stored_tonne[i] / purchased_tonne[i] into artificial range
analysis/profiler.py,57,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/profiler.py,100,Numerical bounds exceeded on enhanced_efficiency,"Clamped to [0.1, 1.0]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable enhanced_efficiency into artificial range
analysis/profiler.py,217,Numerical bounds exceeded on factor,"Clamped to [0.5, 1.5]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable factor into artificial range
analysis/profiler.py,238,Numerical bounds exceeded on S_star,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable S_star into artificial range
analysis/profiler.py,276,Numerical bounds exceeded on S_wn,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable S_wn into artificial range
analysis/profiler.py,329,Numerical bounds exceeded on S_w_avg,"Clamped to [0, 1 - S_or]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable S_w_avg into artificial range
analysis/profiler.py,366,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/profiler.py,832,Missing key resolution,Substituted default DAYS_PER_YEAR,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter resolution=DAYS_PER_YEAR
analysis/profiler.py,150,Numerical bounds exceeded on heterogeneity_penalty,"Clamped to [0.7, 1.0]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable heterogeneity_penalty into artificial range
analysis/profiler.py,445,Numerical bounds exceeded on s_gas,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable s_gas into artificial range
analysis/profiler.py,446,Numerical bounds exceeded on s_water,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable s_water into artificial range
analysis/profiler.py,447,Numerical bounds exceeded on 1 - s_gas - s_water,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable 1 - s_gas - s_water into artificial range
analysis/profiler.py,580,Numerical bounds exceeded on current_pressure,"Clamped to [min_pressure, self.eor_params.max_pressure_psi]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable current_pressure into artificial range
analysis/profiler.py,781,Numerical bounds exceeded on current_pressure,"Clamped to [500, self.eor_params.max_pressure_psi]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable current_pressure into artificial range
analysis/profiler.py,761,Numerical bounds exceeded on 1.0 - f_co2_at_producer - f_water_at_producer,"Clamped to [0, 1]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable 1.0 - f_co2_at_producer - f_water_at_producer into artificial range
analysis/profiler.py,730,Numerical bounds exceeded on self.eor_params.s_wc + (1 - self.eor_params.s_orw - self.eor_params.s_wc) * (1 - np.exp(-0.5 * pvi_past_bt)),"Clamped to [self.eor_params.s_wc, 1 - self.eor_params.s_orw]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable self.eor_params.s_wc + (1 - self.eor_params.s_orw - self.eor_params.s_wc) * (1 - np.exp(-0.5 * pvi_past_bt)) into artificial range
analysis/profiler.py,72,Missing key 'PORO',Substituted default 0.2,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'PORO'=0.2
analysis/profiler.py,653,Numerical bounds exceeded on co2_saturation_near_well,"Clamped to [0.4, 0.85]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable co2_saturation_near_well into artificial range
analysis/profiler.py,695,Numerical bounds exceeded on 1.0 - np.exp(-co2_cut_aggressiveness * pvi_past_bt),"Clamped to [0, 0.6]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable 1.0 - np.exp(-co2_cut_aggressiveness * pvi_past_bt) into artificial range
analysis/profiler.py,701,Numerical bounds exceeded on S_wf + (1 - self.eor_params.sor - S_wf) * (1 - np.exp(-0.3 * pvi_past_bt)),"Clamped to [S_wf, 1 - self.eor_params.sor]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable S_wf + (1 - self.eor_params.sor - S_wf) * (1 - np.exp(-0.3 * pvi_past_bt)) into artificial range
analysis/profiler_refactored.py,69,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,26,Exception caught: ImportError,Assigns fallback: EOS_MODELS_AVAILABLE = False,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,37,Exception caught: ImportError,Assigns fallback: SALIB_AVAILABLE = False,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,70,Exception caught: Exception,Assigns fallback: self.config_manager = None,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,308,"Exception caught: (AttributeError, KeyError, ValueError, IndexError)",Returns fallback value: False,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,423,Exception caught: ValueError,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,577,"Exception caught: (ValueError, AttributeError)",Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,694,"Exception caught: (ValueError, AttributeError)",Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,776,Exception caught: Exception,Returns fallback value: None,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,206,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,253,Exception caught: Exception,Assigns fallback: self._eos_cache[cache_key] = {},IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,339,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,670,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,345,Missing key 'mmp_value',Substituted default self.engine.mmp,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'mmp_value'=self.engine.mmp
analysis/sensitivity_analyzer.py,354,Missing key 'avg_porosity',Substituted default self.engine.avg_porosity,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'avg_porosity'=self.engine.avg_porosity
analysis/sensitivity_analyzer.py,543,Exception caught: Exception,"Assigns fallback: results_array[idx, :] = np.nan",IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/sensitivity_analyzer.py,186,Numerical bounds exceeded on base_val,"Clamped to [low, high]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable base_val into artificial range
analysis/uq_engine.py,23,Exception caught: ImportError,"Assigns fallback: OptimizationEngine, EconomicParameters = (object, object)",IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,209,Exception caught: IndexError,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,213,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,271,Exception caught: ImportError,Assigns fallback: regression = LassoRegression(),IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,345,Exception caught: Exception,Assigns fallback: first_order = np.zeros(len(param_names)),IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,355,Exception caught: Exception,"Assigns fallback: mean_val, var_val = (0.0, 0.0)",IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/uq_engine.py,187,"Exception caught: (ValueError, TypeError)",Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/well_analysis.py,71,Exception caught: Exception,Returns fallback value: None,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/well_analysis.py,91,Numerical bounds exceeded on api,"Clamped to [15, 50]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable api into artificial range
analysis/well_analysis.py,156,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/well_analysis.py,246,Missing key 'temp',Substituted default self.config.default_reservoir_temp,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'temp'=self.config.default_reservoir_temp
audit/__main__.py,23,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
audit/pipeline.py,65,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
audit/pipeline.py,138,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
audit/pipeline.py,178,Exception caught: Exception,Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
core/data_integration_engine.py,148,Exception caught: Exception,"Returns fallback value: {'is_valid': False, 'errors': [f'Processing error: {str(e)}'], 'component_results': {}, 'processed_data': None}",IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/data_integration_engine.py,194,Exception caught: Exception,Assigns fallback: data['generated_properties'] = None,IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/data_integration_engine.py,602,Exception caught: Exception,Assigns fallback: compatibility['surrogate_engine']['compatible'] = False,IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/data_integration_engine.py,809,Exception caught: Exception,"Returns fallback value: {'porosity': np.full((nx, ny, nz), 0.2), 'permeability_x': np.full((nx, ny, nz), 100.0), 'permeability_y': np.full((nx, ny, nz), 100.0), 'permeability_z': np.full((nx, ny, nz), 10.0)}",IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/data_integration_engine.py,467,Missing key 'injection_scheme',Substituted default 'continuous',IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'injection_scheme'='continuous'
core/data_integration_engine.py,711,Missing key 'poissons_ratio',Substituted default 0.25,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'poissons_ratio'=0.25
core/data_integration_engine.py,253,Missing key 'recycle_growth_rate',Substituted default 1.5,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'recycle_growth_rate'=1.5
core/data_integration_engine.py,398,Missing key 'initial_pressure',Substituted default 4000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'initial_pressure'=4000.0
core/data_integration_engine.py,399,Missing key 'temperature',Substituted default 150.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'temperature'=150.0
core/data_integration_engine.py,400,Missing key 'rock_compressibility',Substituted default 3e-06,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'rock_compressibility'=3e-06
core/data_integration_engine.py,412,Missing key 'interfacial_tension',Substituted default 5.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'interfacial_tension'=5.0
core/data_integration_engine.py,490,Missing key 'injection_rate',Substituted default 5000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'injection_rate'=5000.0
core/data_integration_engine.py,496,Missing key 'target_pressure_psi',Substituted default 3000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'target_pressure_psi'=3000.0
core/data_integration_engine.py,497,Missing key 'max_pressure_psi',Substituted default 6000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'max_pressure_psi'=6000.0
core/data_integration_engine.py,498,Missing key 'min_injection_rate_mscfd',Substituted default 5000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'min_injection_rate_mscfd'=5000.0
core/data_integration_engine.py,499,Missing key 'max_injection_rate_mscfd',Substituted default 100000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'max_injection_rate_mscfd'=100000.0
core/data_integration_engine.py,500,Missing key 'sor',Substituted default 0.25,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'sor'=0.25
core/data_integration_engine.py,510,Missing key 'wellbore_pressure',Substituted default 500.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'wellbore_pressure'=500.0
core/data_integration_engine.py,512,Missing key 'max_injector_bhp_psi',Substituted default 8000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'max_injector_bhp_psi'=8000.0
core/data_integration_engine.py,527,Missing key 'time_resolution',Substituted default 'yearly',IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'time_resolution'='yearly'
core/data_integration_engine.py,543,Missing key 'water_injection_cost_usd_per_bbl',Substituted default 1.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'water_injection_cost_usd_per_bbl'=1.0
core/data_integration_engine.py,545,Missing key 'discount_rate_fraction',Substituted default 0.1,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'discount_rate_fraction'=0.1
core/data_integration_engine.py,628,Missing key 'initial_pressure',Substituted default 0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'initial_pressure'=0
core/data_integration_engine.py,631,Missing key 'temperature',Substituted default 0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'temperature'=0
core/data_integration_engine.py,672,Missing key 'anisotropy_ratio',Substituted default 1,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'anisotropy_ratio'=1
core/data_integration_engine.py,757,Missing key 'poissons_ratio',Substituted default 0.25,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'poissons_ratio'=0.25
core/data_integration_engine.py,762,Missing key 'pore_compressibility',Substituted default 1e-06,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'pore_compressibility'=1e-06
core/data_integration_engine.py,763,Missing key 'permeability_stress_coefficient',Substituted default 1e-05,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'permeability_stress_coefficient'=1e-05
core/data_integration_engine.py,475,Missing key 'swag_water_gas_ratio',Substituted default 1.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'swag_water_gas_ratio'=1.0
core/data_integration_engine.py,476,Missing key 'swag_simultaneous_injection',Substituted default True,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'swag_simultaneous_injection'=True
core/data_integration_engine.py,477,Missing key 'swag_mixing_efficiency',Substituted default 0.8,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'swag_mixing_efficiency'=0.8
core/data_integration_engine.py,482,Missing key 'huff_n_puff_injection_period_days',Substituted default 10,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'huff_n_puff_injection_period_days'=10
core/data_integration_engine.py,483,Missing key 'huff_n_puff_soaking_period_days',Substituted default 5,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'huff_n_puff_soaking_period_days'=5
core/data_models.py,146,"Exception caught: (IndexError, ValueError)",Catches error and continues,IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/data_models.py,60,Numerical bounds exceeded on K,"Clamped to [0.5, 10.0]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable K into artificial range
core/data_models.py,1958,Numerical bounds exceeded on (sw - self.swi) / (1 - self.sor - self.swi),"Clamped to [0, 1]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable (sw - self.swi) / (1 - self.sor - self.swi) into artificial range
core/data_models.py,1963,Numerical bounds exceeded on (sg - self.sgr) / (1 - self.swi - self.sor - self.sgr),"Clamped to [0, 1]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,Forces physical variable (sg - self.sgr) / (1 - self.swi - self.sor - self.sgr) into artificial range
core/data_models.py,352,Missing key 'PORO',Substituted default 0.2,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'PORO'=0.2
core/engine_surrogate/analytical_models.py,116,"Exception caught: (ValueError, TypeError, ArithmeticError, RuntimeError)",Returns fallback value: self._literature_based_recovery(**params),IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/engine_surrogate/analytical_models.py,144,"Numerical bounds exceeded on params.get('v_dp', params.get('v_dp_coefficient', 0.5))","Clamped to [0.0, 0.999]",LEGITIMATE NUMERICAL SAFETY,LOW,"Forces physical variable params.get('v_dp', params.get('v_dp_coefficient', 0.5)) into artificial range"
core/engine_surrogate/analytical_models.py,145,"Numerical bounds exceeded on params.get('s_wi', params.get('connate_water_saturation', S_WI_CONNATE))","Clamped to [0.0, 0.8]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,"Forces physical variable params.get('s_wi', params.get('connate_water_saturation', S_WI_CONNATE)) into artificial range"
core/engine_surrogate/analytical_models.py,151,Missing key 'viscosity_inj',"Substituted default params.get('co2_viscosity', 0.05)",IMPLEMENTATION FALLBACK,MEDIUM,"Provides implicit physical parameter 'viscosity_inj'=params.get('co2_viscosity', 0.05)"
core/engine_surrogate/analytical_models.py,238,"Exception caught: (ValueError, TypeError, ArithmeticError, RuntimeError)",Returns fallback value: self._literature_based_recovery(**params),IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/engine_surrogate/analytical_models.py,261,Missing key 'viscosity_inj',"Substituted default params.get('co2_viscosity', 0.05)",IMPLEMENTATION FALLBACK,MEDIUM,"Provides implicit physical parameter 'viscosity_inj'=params.get('co2_viscosity', 0.05)"
core/engine_surrogate/analytical_models.py,262,"Numerical bounds exceeded on params.get('v_dp', params.get('v_dp_coefficient', 0.5))","Clamped to [0.0, 0.99]",LEGITIMATE NUMERICAL SAFETY,LOW,"Forces physical variable params.get('v_dp', params.get('v_dp_coefficient', 0.5)) into artificial range"
core/engine_surrogate/analytical_models.py,263,Missing key 'sor',Substituted default S_OR_BASE,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'sor'=S_OR_BASE
core/engine_surrogate/analytical_models.py,264,Missing key 'soi',Substituted default 0.8,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'soi'=0.8
core/engine_surrogate/analytical_models.py,265,"Numerical bounds exceeded on params.get('s_wi', params.get('connate_water_saturation', S_WI_CONNATE))","Clamped to [0.0, 0.8]",SCIENTIFICALLY QUESTIONABLE,MEDIUM,"Forces physical variable params.get('s_wi', params.get('connate_water_saturation', S_WI_CONNATE)) into artificial range"
core/engine_surrogate/analytical_models.py,317,Numerical bounds exceeded on vertical_eff,"Clamped to [0.1, 1.0]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable vertical_eff into artificial range
core/engine_surrogate/analytical_models.py,365,"Exception caught: (ValueError, TypeError, ArithmeticError, RuntimeError)",Returns fallback value: self._literature_based_recovery(**params),IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/engine_surrogate/analytical_models.py,386,Missing key 'viscosity_inj',"Substituted default params.get('co2_viscosity', 0.05)",IMPLEMENTATION FALLBACK,MEDIUM,"Provides implicit physical parameter 'viscosity_inj'=params.get('co2_viscosity', 0.05)"
core/engine_surrogate/analytical_models.py,390,Missing key 'sor',Substituted default S_OR_BASE,IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'sor'=S_OR_BASE
core/engine_surrogate/analytical_models.py,447,Missing key 'pressure',"Substituted default params.get('target_pressure_psi', 3000.0)",IMPLEMENTATION FALLBACK,MEDIUM,"Provides implicit physical parameter 'pressure'=params.get('target_pressure_psi', 3000.0)"
core/engine_surrogate/analytical_models.py,448,Missing key 'mmp',Substituted default 2500.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'mmp'=2500.0
core/engine_surrogate/analytical_models.py,464,Numerical bounds exceeded on arg,"Clamped to [-700, 700]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable arg into artificial range
core/engine_surrogate/analytical_models.py,507,"Exception caught: (ValueError, TypeError, ArithmeticError, RuntimeError)",Returns fallback value: self._literature_based_recovery(**params),IMPLEMENTATION FALLBACK,MEDIUM,Alters simulation trajectory or suppresses state divergence
core/engine_surrogate/analytical_models.py,529,"Numerical bounds exceeded on params.get('v_dp', params.get('v_dp_coefficient', 0.5))","Clamped to [0.0, 0.999]",LEGITIMATE NUMERICAL SAFETY,LOW,"Forces physical variable params.get('v_dp', params.get('v_dp_coefficient', 0.5)) into artificial range"
