Module,Line,Literal,Code Snippet
analysis/breakthrough_physics.py,188,0.85,"bg = 0.00503 * 0.85 * (temp_f + 460.0) / max(pressure, 14.7)"
analysis/breakthrough_physics.py,188,460.0,"bg = 0.00503 * 0.85 * (temp_f + 460.0) / max(pressure, 14.7)"
analysis/breakthrough_physics.py,188,14.7,"bg = 0.00503 * 0.85 * (temp_f + 460.0) / max(pressure, 14.7)"
analysis/breakthrough_physics.py,194,44.0,"rho_co2 = _to_float(eor_params.get(""co2_density"", 44.0))"
analysis/breakthrough_physics.py,195,50.0,"rho_oil = _to_float(eor_params.get(""oil_density"", 50.0))"
analysis/breakthrough_physics.py,196,0.08,"mu_co2 = _to_float(eor_params.get(""co2_viscosity"", 0.08))"
analysis/breakthrough_physics.py,252,0.95,"vdp = np.clip(vdp, 0.0, 0.95)"
analysis/breakthrough_physics.py,257,0.22,m_eff = (0.22 + 0.78 * (mobility_ratio**0.25)) ** 4
analysis/breakthrough_physics.py,257,0.78,m_eff = (0.22 + 0.78 * (mobility_ratio**0.25)) ** 4
analysis/breakthrough_physics.py,257,0.25,m_eff = (0.22 + 0.78 * (mobility_ratio**0.25)) ** 4
analysis/breakthrough_physics.py,263,2000.0,"length_ft = _to_float(reservoir_params.get(""length_ft"", 2000.0))"
analysis/breakthrough_physics.py,264,1000.0,"width_ft = _to_float(reservoir_params.get(""width_ft"", 1000.0))"
analysis/breakthrough_physics.py,265,50.0,"thickness_ft = _to_float(reservoir_params.get(""thickness_ft"", 50.0))"
analysis/breakthrough_physics.py,266,0.15,"porosity = np.clip(_to_float(reservoir_params.get(""porosity"", 0.15)), 0.01, 0.4)"
analysis/breakthrough_physics.py,266,0.01,"porosity = np.clip(_to_float(reservoir_params.get(""porosity"", 0.15)), 0.01, 0.4)"
analysis/breakthrough_physics.py,266,0.4,"porosity = np.clip(_to_float(reservoir_params.get(""porosity"", 0.15)), 0.01, 0.4)"
analysis/breakthrough_physics.py,271,5000.0,"inj_mscfd = _to_float(eor_params.get(""injection_rate"", 5000.0))"
analysis/breakthrough_physics.py,273,5.61458,q_res_ft3_day = inj_mscfd * bg * 5.61458
analysis/breakthrough_physics.py,275,365.25,bt_years = (bt_pore_volumes * pore_volume_ft3) / (q_res_ft3_day * 365.25 + EPSILON)
analysis/breakthrough_physics.py,292,2000.0,"length_ft = _to_float(reservoir_params.get(""length_ft"", 2000.0))"
analysis/breakthrough_physics.py,293,50.0,"height_ft = _to_float(reservoir_params.get(""thickness_ft"", 50.0))"
analysis/breakthrough_physics.py,294,1000.0,"width_ft = _to_float(reservoir_params.get(""width_ft"", 1000.0))"
analysis/breakthrough_physics.py,295,100.0,"perm_md = _to_float(reservoir_params.get(""permeability"", 100.0))"
analysis/breakthrough_physics.py,296,0.15,"porosity = _to_float(reservoir_params.get(""porosity"", 0.15))"
analysis/breakthrough_physics.py,302,5000.0,"inj_mscfd = _to_float(eor_params.get(""injection_rate"", 5000.0))"
analysis/breakthrough_physics.py,304,5.61458,q_res_ft3_day = inj_mscfd * bg * 5.61458
analysis/breakthrough_physics.py,308,1.0623e-14,k_ft2 = perm_md * 1.0623e-14
analysis/breakthrough_physics.py,311,2.417e-10,mu_o_lb_day_ft2 = mu_o_cp * 2.417e-10
analysis/breakthrough_physics.py,314,240000000000.0,g_ft_day2 = 2.4e11
analysis/breakthrough_physics.py,326,0.01,"bt_pv = (1.0 / m_ratio) * (1.0 - np.exp(-max(rvg, 0.01)))"
analysis/breakthrough_physics.py,329,365.25,bt_years = (bt_pv * pore_volume_ft3) / (q_res_ft3_day * 365.25 + EPSILON)
analysis/breakthrough_physics.py,346,100.0,"perm_md = _to_float(reservoir_params.get(""permeability"", 100.0))"
analysis/breakthrough_physics.py,351,5000.0,"inj_mscfd = _to_float(eor_params.get(""injection_rate"", 5000.0))"
analysis/breakthrough_physics.py,353,1000.0,"width_ft = _to_float(reservoir_params.get(""width_ft"", 1000.0))"
analysis/breakthrough_physics.py,354,50.0,"height_ft = _to_float(reservoir_params.get(""thickness_ft"", 50.0))"
analysis/breakthrough_physics.py,355,5.61458,q_res_ft3_day = inj_mscfd * bg * 5.61458
analysis/breakthrough_physics.py,359,1.0623e-14,k_ft2 = perm_md * 1.0623e-14
analysis/breakthrough_physics.py,360,2.417e-10,mu_g_lb_day_ft2 = mu_g_cp * 2.417e-10
analysis/breakthrough_physics.py,361,240000000000.0,g_ft_day2 = 2.4e11
analysis/breakthrough_physics.py,395,800.0,"base_gor = eor_params.get(""gas_oil_ratio_at_breakthrough"", 800.0)"
analysis/breakthrough_physics.py,396,10000.0,"injection_gor = eor_params.get(""injection_gor"", 10000.0)  # Typical injected CO₂ GOR"
analysis/breakthrough_physics.py,406,1.1,"return float(min(gor, injection_gor * 1.1))  # Cap at 10% above injection GOR"
analysis/breakthrough_physics.py,421,0.8,"co2_purity = produced_gas_composition.get(""co2_fraction"", 0.8)"
analysis/breakthrough_physics.py,474,200.0,"gor_profile[i] = eor_params.get(""initial_gor"", 200.0)  # Base reservoir GOR"
analysis/breakthrough_physics.py,513,5.0,"return self.generate_breakthrough_profile(15, 5.0, eor_params)"
analysis/breakthrough_physics.py,530,30.44,"state.current_time if hasattr(state, ""current_time"") else i * 30.44"
analysis/breakthrough_physics.py,548,0.1,co2_front_idx = np.where(co2_saturation_profile[i] > 0.1)[0]
analysis/breakthrough_physics.py,557,0.05,"producer_co2_sat > 0.05,"
analysis/breakthrough_physics.py,558,200.0,"200.0 + producer_co2_sat * 5000.0,  # Scale GOR with CO2 saturation"
analysis/breakthrough_physics.py,558,5000.0,"200.0 + producer_co2_sat * 5000.0,  # Scale GOR with CO2 saturation"
analysis/breakthrough_physics.py,559,200.0,"eor_params.get(""initial_gor"", 200.0),"
analysis/breakthrough_physics.py,564,0.05,"producer_co2_sat > 0.05, self.params.recycling_efficiency, 0.0"
analysis/breakthrough_physics.py,568,0.05,breakthrough_threshold = 0.05  # 5% CO2 at producer
analysis/breakthrough_physics.py,571,999.0,times[breakthrough_indices[0]] if len(breakthrough_indices) > 0 else 999.0
analysis/data_validation.py,20,0.01,"rf: float, ooip: float, total_oil_produced: float, tolerance: float = 0.01"
analysis/data_validation.py,60,500.0,"min_pressure: float = 500.0,"
analysis/data_validation.py,93,1.2,if max_observed > max_pressure * 1.2:
analysis/data_validation.py,96,1.2,"f""Pressure excessively exceeds maximum allowed: {max_observed:.0f} psi > {max_pressure * 1.2:.0f} ps"
analysis/data_validation.py,189,365.0,return profiles[selected_key] / 365.0
analysis/data_validation.py,335,30.4375,dt = 30.4375  # Monthly
analysis/data_validation.py,337,91.3125,dt = 91.3125  # Quarterly
analysis/data_validation.py,339,365.25,dt = 365.25  # Yearly
analysis/data_validation.py,358,10000.0,"max_pressure = reservoir_data.get(""max_pressure_psi"", 10000.0)"
analysis/decline_curve_analysis.py,41,0.1,"def __init__(self, economic_limit_factor: float = 0.1):"
analysis/decline_curve_analysis.py,107,0.1,di_guess = 0.1
analysis/decline_curve_analysis.py,134,0.1,di_guess = 0.1
analysis/decline_curve_analysis.py,212,0.95,if production_rate[idx] < 0.95 * peak_rate:
analysis/decline_curve_analysis.py,310,0.1,if r2_hyper > r2_exp and b_hyper > 0.1:  # Prefer hyperbolic if meaningful
analysis/injection_scheme_validator.py,36,1.8,"'min_co2_utilization_factor': 1.8,  # MSCF/STB (minimum realistic) - reduced from 2.0"
analysis/injection_scheme_validator.py,37,20.0,"'max_co2_utilization_factor': 20.0,  # MSCF/STB (maximum realistic)"
analysis/injection_scheme_validator.py,38,0.1,"'min_huff_n_puff_co2_recycle_ratio': 0.1,  # Minimum CO2 produced back - reduced from 0.3"
analysis/injection_scheme_validator.py,38,0.3,"'min_huff_n_puff_co2_recycle_ratio': 0.1,  # Minimum CO2 produced back - reduced from 0.3"
analysis/injection_scheme_validator.py,39,0.8,"'max_huff_n_puff_co2_recycle_ratio': 0.8,  # Maximum CO2 produced back"
analysis/injection_scheme_validator.py,41,100.0,"'max_pressure_increase_rate': 100.0,  # psi/day maximum during injection"
analysis/injection_scheme_validator.py,42,0.01,"'min_recovery_factor': 0.01,  # Minimum realistic recovery"
analysis/injection_scheme_validator.py,43,0.6,"'max_recovery_factor': 0.6,  # Maximum realistic recovery"
analysis/injection_scheme_validator.py,94,0.3,if abs(metrics['co2_water_ratio'] - 1.0) > 0.3:  # Allow 30% tolerance
analysis/injection_scheme_validator.py,236,1.5,if final_pressure > initial_pressure * 1.5:
analysis/injection_scheme_validator.py,238,0.3,if final_pressure < initial_pressure * 0.3:
analysis/injection_scheme_validator.py,405,0.2,if mass_balance_error > 0.2:  # Increased to 20% tolerance for simulation variability
analysis/material_balance.py,26,800.0,breakthrough_gor_threshold = 800.0
analysis/material_balance.py,27,0.9,recycling_efficiency = 0.9
analysis/material_balance.py,43,0.053,"co2_density_tonne_per_mscf: float = 0.053,"
analysis/material_balance.py,75,2000.0,"pressure = reservoir_params.get(""pressure"", 2000.0)"
analysis/material_balance.py,76,150.0,"temp_f = reservoir_params.get(""temperature"", 150.0)"
analysis/material_balance.py,77,5.0,temp_k = (temp_f - 32) * 5.0 / 9.0 + 273.15
analysis/material_balance.py,77,9.0,temp_k = (temp_f - 32) * 5.0 / 9.0 + 273.15
analysis/material_balance.py,77,273.15,temp_k = (temp_f - 32) * 5.0 / 9.0 + 273.15
analysis/material_balance.py,78,6894.76,pres_pa = pressure * 6894.76
analysis/material_balance.py,85,0.2,"vapor_frac = min(1.0, max(0.0, 1.0 - avg_z + 0.2))"
analysis/material_balance.py,87,0.05,vapor_frac = 0.05
analysis/material_balance.py,89,0.8,co2_frac = 0.8
analysis/material_balance.py,109,0.95,"co2_fraction = min(0.95, max(0.05, co2_fraction))"
analysis/material_balance.py,109,0.05,"co2_fraction = min(0.95, max(0.05, co2_fraction))"
analysis/material_balance.py,124,0.01,"leakage_rate_fraction: float = 0.01,"
analysis/material_balance.py,192,2000.0,p_res = 2000.0
analysis/material_balance.py,194,2000.0,"p_res = float(reservoir_params.get(""pressure"", 2000.0))"
analysis/material_balance.py,196,5500.0,p_frac = 5500.0
analysis/material_balance.py,197,0.9,safety_factor = 0.90
analysis/material_balance.py,200,5500.0,"p_frac = float(eor_params.get(""caprock_fracture_pressure_psi"", 5500.0))"
analysis/material_balance.py,201,0.9,"safety_factor = float(eor_params.get(""caprock_safety_factor"", 0.90))"
analysis/material_balance.py,207,0.0001,"effective_leakage_fraction = min(leakage_rate_fraction, 0.0001) if leakage_rate_fraction > 0 else 0."
analysis/material_balance.py,328,5.0,"1.0, time_since_breakthrough[i] / 5.0"
analysis/material_balance.py,333,0.1,recycling_efficiency[i] = 0.1  # 10% base efficiency
analysis/material_balance.py,350,0.1,"""recovery_factor"", 0.1"
analysis/material_balance.py,359,1000.0,produced_co2_mscf = (annual_oil_production_stb * gor) / 1000.0
analysis/material_balance.py,365,0.05,produced_tonne_estimate[i] = injected_tonne[i] * 0.05  # 5% dissolution
analysis/material_balance.py,455,1.02,"legend=dict(orientation=""h"", yanchor=""bottom"", y=1.02, xanchor=""right"", x=1),"
analysis/material_balance.py,483,1.02,"legend=dict(orientation=""h"", yanchor=""bottom"", y=1.02, xanchor=""right"", x=1),"
analysis/material_balance.py,517,1.02,"legend=dict(orientation=""h"", yanchor=""bottom"", y=1.02, xanchor=""right"", x=1),"
analysis/material_balance.py,571,0.053,"co2_density_tonne_per_mscf: float = 0.053,"
analysis/material_balance.py,572,0.01,"leakage_rate_fraction: float = 0.01,"
analysis/material_balance.py,634,12.0,"balance_data[""years""] = np.arange(1, len(balance_data[""injected_tonne""]) + 1) / 12.0"
analysis/profiler.py,18,5.61458,FT3_PER_BBL = 5.61458
analysis/profiler.py,73,0.2,"* np.mean(self.reservoir.grid.get(""PORO"", 0.2))"
analysis/profiler.py,93,0.4,base_efficiency = 0.5 + 0.4 * np.log10(M) / (M - 1)
analysis/profiler.py,95,0.1,base_efficiency = np.exp(-0.1 * (M - 10)) * (0.546 + 0.0357 / M)
analysis/profiler.py,95,0.546,base_efficiency = np.exp(-0.1 * (M - 10)) * (0.546 + 0.0357 / M)
analysis/profiler.py,95,0.0357,base_efficiency = np.exp(-0.1 * (M - 10)) * (0.546 + 0.0357 / M)
analysis/profiler.py,101,0.1,"return np.clip(enhanced_efficiency, 0.1, 1.0)"
analysis/profiler.py,113,1.1,factor *= 1.1  # Sandstone typically has better sweep
analysis/profiler.py,115,0.9,factor *= 0.9  # Carbonates often have more heterogeneity
analysis/profiler.py,117,0.7,factor *= 0.7  # Shale has poor sweep characteristics
analysis/profiler.py,123,1.05,factor *= 1.05  # Channelized systems can have good sweep if properly targeted
analysis/profiler.py,125,0.95,factor *= 0.95  # Dune systems can have complex flow patterns
analysis/profiler.py,133,1.1,factor *= 1.1
analysis/profiler.py,137,0.9,factor *= 0.9
analysis/profiler.py,139,0.8,factor *= 0.8
analysis/profiler.py,149,0.3,heterogeneity * 0.3
analysis/profiler.py,151,0.7,"factor *= np.clip(heterogeneity_penalty, 0.7, 1.0)"
analysis/profiler.py,186,1.2,modifier *= 1.2  # Sandstone typically has higher permeability
analysis/profiler.py,188,0.8,modifier *= 0.8  # Carbonates can have variable permeability
analysis/profiler.py,190,0.3,modifier *= 0.3  # Shale has very low permeability
analysis/profiler.py,204,1.1,factor *= 1.1  # Sandstone can typically handle higher injection rates
analysis/profiler.py,206,0.9,factor *= 0.9  # Carbonates may have fracture concerns
analysis/profiler.py,208,0.6,factor *= 0.6  # Shale has very low injectivity
analysis/profiler.py,214,0.8,factor *= 0.8
analysis/profiler.py,216,0.6,factor *= 0.6
analysis/profiler.py,218,1.5,"return np.clip(factor, 0.5, 1.5)"
analysis/profiler.py,358,1.2,B_oil = 1.2  # rb/stb
analysis/profiler.py,360,5.0,B_gas = 5.0  # Default value
analysis/profiler.py,363,273.15,temp_K = (self.temperature_F - 32) * 5 / 9 + 273.15
analysis/profiler.py,364,6894.76,pressure_Pa = self.initial_pressure * 6894.76
analysis/profiler.py,369,5.0,"f""Could not calculate B_gas, falling back to default 5.0. Error: {e}"""
analysis/profiler.py,381,0.2,base_productivity_index * permeability_modifier * (1.0 - heterogeneity_index * 0.2)
analysis/profiler.py,451,0.01,"s_oil = max(s_oil, 0.01)  # Minimum oil saturation"
analysis/profiler.py,452,0.01,"s_gas = max(s_gas, 0.01)  # Minimum gas saturation"
analysis/profiler.py,453,0.01,"s_water = max(s_water, 0.01)  # Minimum water saturation"
analysis/profiler.py,489,0.01,min_scaling_factor = 0.01  # 1% minimum injection to continue simulation
analysis/profiler.py,499,0.1,if day % 100 == 0 or scaling_factor < 0.1:
analysis/profiler.py,522,100.0,"pressure_increase, 100.0"
analysis/profiler.py,551,5.0,"pressure_decline, 5.0"
analysis/profiler.py,554,80.0,"pressure_decline, 80.0"
analysis/profiler.py,579,0.35,"1600, self.initial_pressure * 0.35"
analysis/profiler.py,605,0.05,min_production_factor = 0.05  # 5% of peak production
analysis/profiler.py,649,0.4,self.pore_volume_bbl * 0.4
analysis/profiler.py,652,0.85,"0.85, co2_volume_in_reservoir_rb / pore_volume_near_well"
analysis/profiler.py,655,0.4,"co2_saturation_near_well, 0.4, 0.85"
analysis/profiler.py,655,0.85,"co2_saturation_near_well, 0.4, 0.85"
analysis/profiler.py,656,0.3,)  # Increased minimum from 0.3 to 0.4
analysis/profiler.py,656,0.4,)  # Increased minimum from 0.3 to 0.4
analysis/profiler.py,666,0.4,base_efficiency = 0.5  # Increased from 0.4 to 0.5
analysis/profiler.py,667,0.15,improvement_rate = 0.15  # Increased from 0.12 to 0.15
analysis/profiler.py,667,0.12,improvement_rate = 0.15  # Increased from 0.12 to 0.15
analysis/profiler.py,667,0.15,improvement_rate = 0.15  # Increased from 0.12 to 0.15
analysis/profiler.py,669,0.95,"0.95, base_efficiency + cycles_completed * improvement_rate"
analysis/profiler.py,670,0.95,)  # Increased cap to 0.95
analysis/profiler.py,675,0.4,"f_co2_at_producer = max(f_co2_at_producer, 0.4)  # Increased from 0.3 to 0.4"
analysis/profiler.py,675,0.3,"f_co2_at_producer = max(f_co2_at_producer, 0.4)  # Increased from 0.3 to 0.4"
analysis/profiler.py,675,0.4,"f_co2_at_producer = max(f_co2_at_producer, 0.4)  # Increased from 0.3 to 0.4"
analysis/profiler.py,677,0.85,"f_co2_at_producer, 0.85"
analysis/profiler.py,678,0.8,)  # Increased cap from 0.8 to 0.85
analysis/profiler.py,678,0.85,)  # Increased cap from 0.8 to 0.85
analysis/profiler.py,682,1.2,f_co2_at_producer *= 1.2  # 20% boost for early cycles
analysis/profiler.py,694,0.8,0.8  # Reduced from 1.5 to make breakthrough more gradual
analysis/profiler.py,694,1.5,0.8  # Reduced from 1.5 to make breakthrough more gradual
analysis/profiler.py,697,0.6,"1.0 - np.exp(-co2_cut_aggressiveness * pvi_past_bt), 0, 0.6"
analysis/profiler.py,698,0.8,)  # Reduced max from 0.8 to 0.6
analysis/profiler.py,698,0.6,)  # Reduced max from 0.8 to 0.6
analysis/profiler.py,703,0.3,"S_wf + (1 - self.eor_params.sor - S_wf) * (1 - np.exp(-0.3 * pvi_past_bt)),"
analysis/profiler.py,713,0.1,if day % 100 == 0 or (PVI_current >= PVI_bt and f_co2_at_producer > 0.1):
analysis/profiler.py,744,0.1,if day % 100 == 0 or (PVI_current >= PVI_bt and f_water_at_producer > 0.1):
analysis/profiler.py,791,0.9,"recycling_fraction = getattr(self.eor_params, ""co2_recycling_fraction"", 0.9)"
analysis/profiler.py,824,4.0,"""quarterly"": DAYS_PER_YEAR / 4.0,"
analysis/profiler.py,825,12.0,"""monthly"": DAYS_PER_YEAR / 12.0,"
analysis/sensitivity_analyzer.py,342,2500.0,"""GeneralFallbacks.mmp_default_psi"", 2500.0"
analysis/sensitivity_analyzer.py,395,0.8,"""SensitivityAnalysis.single_value_lower_multiplier"", 0.8"
analysis/sensitivity_analyzer.py,398,1.2,"""SensitivityAnalysis.single_value_upper_multiplier"", 1.2"
analysis/sensitivity_analyzer.py,844,0.01,"legend=dict(x=0.01, y=0.99, borderwidth=1),"
analysis/sensitivity_analyzer.py,844,0.99,"legend=dict(x=0.01, y=0.99, borderwidth=1),"
analysis/well_analysis.py,18,60.0,STD_TEMP_F = 60.0
analysis/well_analysis.py,19,14.696,STD_PRESS_PSIA = 14.696
analysis/well_analysis.py,29,70.0,surface_temp: float = 70.0  # Default surface temperature in °F
analysis/well_analysis.py,30,32.0,default_api_gravity: float = 32.0  # Default API gravity if no other source is available
analysis/well_analysis.py,31,212.0,default_reservoir_temp: float = 212.0 # Default reservoir temperature if no other source is availabl
analysis/well_analysis.py,66,1000.0,specific_gravity_oil = rho_o / 1000.0
analysis/well_analysis.py,68,141.5,api_gravity = (141.5 / specific_gravity_oil) - 131.5
analysis/well_analysis.py,68,131.5,api_gravity = (141.5 / specific_gravity_oil) - 131.5
analysis/well_analysis.py,90,141.5,api = (141.5 / rhob) - 131.5
analysis/well_analysis.py,90,131.5,api = (141.5 / rhob) - 131.5
core/engine_surrogate/__init__.py,60,0.1,"__version__ = ""0.1.0"""
core/engine_surrogate/analytical_models.py,51,0.053,CO2_DENSITY_TONNE_PER_MSCF = 0.053
core/engine_surrogate/analytical_models.py,58,0.05,"S_GC_CRITICAL = 0.05  # Critical gas saturation, Corey (1954)"
core/engine_surrogate/analytical_models.py,59,0.25,S_OR_BASE = 0.25  # Base residual oil saturation
core/engine_surrogate/analytical_models.py,60,0.25,S_WI_CONNATE = 0.25  # Connate water saturation
core/engine_surrogate/analytical_models.py,64,0.7,TODD_LONGSTAFF_OMEGA = 0.7
core/engine_surrogate/analytical_models.py,110,0.8,"self.model = MiscibleRecoveryModel(max_rf_cap=0.80, omega=TODD_LONGSTAFF_OMEGA)"
core/engine_surrogate/analytical_models.py,152,0.78,E_eff = (0.78 + 0.22·M^0.25)⁴   [effective viscosity ratio]
core/engine_surrogate/analytical_models.py,152,0.22,E_eff = (0.78 + 0.22·M^0.25)⁴   [effective viscosity ratio]
core/engine_surrogate/analytical_models.py,152,0.25,E_eff = (0.78 + 0.22·M^0.25)⁴   [effective viscosity ratio]
core/engine_surrogate/analytical_models.py,158,0.999,"v_dp = np.clip(params.get(""v_dp"", params.get(""v_dp_coefficient"", 0.5)), 0.0, 0.999)"
core/engine_surrogate/analytical_models.py,160,0.8,"params.get(""s_wi"", params.get(""connate_water_saturation"", S_WI_CONNATE)), 0.0, 0.8"
core/engine_surrogate/analytical_models.py,164,1.5,"viscosity_oil = params.get(""viscosity_oil"", params.get(""mu_oil"", 1.5))"
core/engine_surrogate/analytical_models.py,165,0.05,"viscosity_inj = params.get(""viscosity_inj"", params.get(""co2_viscosity"", 0.05))"
core/engine_surrogate/analytical_models.py,176,0.25,inner = f_s * (viscosity_inj ** (-0.25)) + (1.0 - f_s) * (viscosity_oil ** (-0.25))
core/engine_surrogate/analytical_models.py,176,0.25,inner = f_s * (viscosity_inj ** (-0.25)) + (1.0 - f_s) * (viscosity_oil ** (-0.25))
core/engine_surrogate/analytical_models.py,177,4.0,mu_m = inner ** (-4.0)
core/engine_surrogate/analytical_models.py,191,0.78,e_eff = (0.78 + 0.22 * (m_eff**0.25)) ** 4
core/engine_surrogate/analytical_models.py,191,0.22,e_eff = (0.78 + 0.22 * (m_eff**0.25)) ** 4
core/engine_surrogate/analytical_models.py,191,0.25,e_eff = (0.78 + 0.22 * (m_eff**0.25)) ** 4
core/engine_surrogate/analytical_models.py,198,3.0,displacement_eff = (3.0 * koval**2 - 3.0 * koval + 1.0) / (koval**3)
core/engine_surrogate/analytical_models.py,198,3.0,displacement_eff = (3.0 * koval**2 - 3.0 * koval + 1.0) / (koval**3)
core/engine_surrogate/analytical_models.py,205,0.05,"return float(np.clip(rf, 0.05, 0.80))"
core/engine_surrogate/analytical_models.py,205,0.8,"return float(np.clip(rf, 0.05, 0.80))"
core/engine_surrogate/analytical_models.py,266,0.05,"viscosity_inj = params.get(""viscosity_inj"", params.get(""co2_viscosity"", 0.05))"
core/engine_surrogate/analytical_models.py,267,0.99,"v_dp = np.clip(params.get(""v_dp"", params.get(""v_dp_coefficient"", 0.5)), 0.0, 0.99)"
core/engine_surrogate/analytical_models.py,269,0.8,"soi = params.get(""soi"", 0.8)"
core/engine_surrogate/analytical_models.py,271,0.8,"params.get(""s_wi"", params.get(""connate_water_saturation"", S_WI_CONNATE)), 0.0, 0.8"
core/engine_surrogate/analytical_models.py,316,0.517,areal_eff = 0.517 - 0.072 * np.log10(mobility_ratio)
core/engine_surrogate/analytical_models.py,316,0.072,areal_eff = 0.517 - 0.072 * np.log10(mobility_ratio)
core/engine_surrogate/analytical_models.py,317,0.1,"areal_eff = np.clip(areal_eff, 0.1, 1.0)"
core/engine_surrogate/analytical_models.py,321,0.7,vertical_eff = 1.0 - (v_dp**0.7)
core/engine_surrogate/analytical_models.py,322,0.1,"vertical_eff = np.clip(vertical_eff, 0.1, 1.0)"
core/engine_surrogate/analytical_models.py,329,0.1,"return float(np.clip(recovery, 0.10, 0.50))"
core/engine_surrogate/analytical_models.py,344,0.75,self.model = BuckleyLeverettModel(max_rf_cap=0.75)
core/engine_surrogate/analytical_models.py,366,0.05,"params.setdefault(""viscosity_inj"", params.get(""co2_viscosity"", 0.05))"
core/engine_surrogate/analytical_models.py,389,0.05,"viscosity_inj = params.get(""viscosity_inj"", params.get(""co2_viscosity"", 0.05))"
